Component #1,Component #2,Component #3,x1,x2,x3,T_melting /K
THYMOL,OCTANOIC ACID,-,0.7,0.3,-,302.51
L-MENTHOL,1-TETRADECANOL,-,0.399,0.601,-,302.6
LAURIC ACID,DECANOIC ACID,-,0.554,0.446,-,302.8
CHOLINE CHLORIDE,RESORCINOL,-,0.258,0.742,-,302.845
L-MENTHOL,DECANOIC ACID,-,0.1,0.9,-,303.0
CHOLINE CHLORIDE,UREA,-,0.404,0.596,-,303.039
PALMITIC ACID,DECANOIC ACID,-,0.05,0.95,-,303.08
TETRABUTYLAMMONIUM CHLORIDE,L-THREONINE,-,0.909,0.091,-,303.11
CHOLINE CHLORIDE,1-TETRADECANOL,-,0.419,0.581,-,303.15
LIDOCAINE,TETRACAINE,-,0.5,0.5,-,303.15
THYMOL,LAURIC ACID,-,0.6,0.4,-,303.22
ETHYLAMMONIUM CHLORIDE,UREA,-,0.492,0.508,-,303.237
DECANOIC ACID,LAURIC ACID,-,0.335,0.665,-,303.275
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.6,0.4,-,303.45
TETRABUTYLAMMONIUM CHLORIDE,L-SERINE,-,0.909,0.091,-,303.56
TETRABUTYLAMMONIUM BROMIDE,IMIDAZOLE,-,0.4,0.6,-,303.6994
TETRABUTYLAMMONIUM CHLORIDE,L-GLUTAMIC ACID,-,0.889,0.111,-,303.7
TETRAMETHYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.206,0.794,-,303.75
L-MENTHOL,TETRADECANOIC ACID,-,0.7,0.3,-,303.76
TETRABUTYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.597,0.403,-,303.8
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.298,0.702,-,303.82
TETRAMETHYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.198,0.802,-,303.83
L-MENTHOL,HYDROCINNAMIC ACID,-,0.3,0.7,-,303.95
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.499,0.501,-,304.02
CHOLINE CHLORIDE,DECANOIC ACID,-,0.3,0.7,-,304.06
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.495,0.505,-,304.08
CHOLINE CHLORIDE,DECANOIC ACID,-,0.296,0.704,-,304.1
ZINCCHLORIDE,ACETYLCHOLINE CHLORIDE,-,0.667,0.333,-,304.15
BENZYLTRIMETHYLAMMONIUM CHLORIDE,CITRIC ACID,-,0.5,0.5,-,304.15
CHOLINE CHLORIDE,D-GLUCOSE,-,0.5,0.5,-,304.15
TETRAETHYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.196,0.804,-,304.18
L-MENTHOL,1-TETRADECANOL,-,0.302,0.698,-,304.2
TETRAPROPYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.1,0.9,-,304.36
THYMOL,L-MENTHOL,-,0.105,0.895,-,304.4
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-. METHANESULFONATE (1:1) (ACI),UREA,-,0.452,0.548,-,304.412
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.138,0.862,-,304.437
CHOLINE CHLORIDE,DECANOIC ACID,-,0.212,0.788,-,304.45
CHOLINE CHLORIDE,HYDROCINNAMIC ACID,-,0.25,0.75,-,304.483
ZINCCHLORIDE,UREA,-,0.198,0.802,-,304.4833
TETRAMETHYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.099,0.901,-,304.55
CHOLINE CHLORIDE,GLUTARIC ACID,-,0.495,0.505,-,304.55
CHOLINE CHLORIDE,DECANOIC ACID,-,0.101,0.899,-,304.6
LAURIC ACID,DECANOIC ACID,-,0.6,0.4,-,304.61
PALMITIC ACID,DECANOIC ACID,-,0.206,0.794,-,304.68
SODIUM LAURATE,DECANOIC ACID,-,0.068,0.932,-,304.682
CHOLINE CHLORIDE,DECANOIC ACID,-,0.399,0.601,-,304.7
THYMOL,LAURIC ACID,-,0.4,0.6,-,304.76
1-HEXADECANOL,L-MENTHOL,-,0.3,0.7,-,304.9
TETRABUTYLAMMONIUM CHLORIDE,L-ASPARTIC ACID,-,0.917,0.083,-,304.93
TETRAMETHYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.109,0.891,-,304.94
LAURIC ACID,NONANOIC ACID,-,0.75,0.25,-,305.0
TETRAETHYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.097,0.903,-,305.05
TETRADECANOIC ACID,DECANOIC ACID,-,0.351,0.649,-,305.12
IBUPROFEN,THYMOL,-,0.33,0.67,-,305.15
TETRABUTYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.307,0.693,-,305.2
NONANOIC ACID,LAURIC ACID,-,0.252,0.748,-,305.275
TETRABUTYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.102,0.898,-,305.4
CHOLINE CHLORIDE,DECANOIC ACID,-,0.342,0.658,-,305.45
THYMOL,1-TETRADECANOL,-,0.2,0.8,-,305.6
TETRAPROPYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.4,0.6,-,305.68
THYMOL,L-MENTHOL,-,0.1,0.9,-,305.7
STEARIC ACID,DECANOIC ACID,-,0.1,0.9,-,305.78
CHOLINE CHLORIDE,GLYCEROL,-,0.603,0.397,-,305.811
CARVACROL,L-MENTHOL,-,0.1,0.9,-,305.85
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-. METHANESULFONATE (1:1) (ACI),UREA,-,0.303,0.697,-,305.882
TETRABUTYLAMMONIUM CHLORIDE,L-ASPARTIC ACID,-,0.909,0.091,-,305.96
L-MENTHOL,LAURIC ACID,-,0.4,0.6,-,306.0
1-HEXADECANOL,THYMOL,-,0.3,0.7,-,306.1
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.5,0.5,-,306.15
CHOLINE CHLORIDE,D-ARABINO-HEX-2-ULO-PYRANOSE,-,0.333,0.667,-,306.15
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.116,0.884,-,306.238
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.9,0.1,-,306.29
L-MENTHOL,TETRADECANOIC ACID,-,0.9,0.1,-,306.35
THYMOL,DECANOIC ACID,-,0.7,0.3,-,306.47
CHOLINE CHLORIDE,1-TETRADECANOL,-,0.288,0.712,-,306.55
1-HEXADECANOL,THYMOL,-,0.5,0.5,-,306.6
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.504,0.496,-,306.67
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.3,0.7,-,306.72
NICOTINAMIDE,GLYCOLIC ACID,-,0.503,0.497,-,306.8966
1.10-PHENANTHROLINE,CHLOROTHYMOL,-,0.704,0.296,-,306.9008
THYMOL,L-MENTHOL,-,0.834,0.166,-,306.926
THYMOL,LAURIC ACID,-,0.7,0.3,-,306.96
L-MENTHOL,DECANOIC ACID,-,0.9,0.1,-,307.0
LIDOCAINE,CAMPHOR,-,0.5,0.5,-,307.0
L-MENTHOL,LAURIC ACID,-,0.9,0.1,-,307.0
CHOLINE CHLORIDE,2.4.6-TRIMETHYLPHENOL,-,0.33,0.67,-,307.06
L-MENTHOL,DECANOIC ACID,-,0.898,0.102,-,307.1
OCTANOIC ACID,LAURIC ACID,-,0.252,0.748,-,307.15
THYMOL,L-MENTHOL,-,0.099,0.901,-,307.15
TETRABUTYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.3,0.7,-,307.2
THYMOL,L-MENTHOL,-,0.099,0.901,-,307.319
L-MENTHOL,HYDROCINNAMIC ACID,-,0.9,0.1,-,307.46
L-MENTHOL,1-TETRADECANOL,-,0.897,0.103,-,307.6
TETRAPROPYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.45,0.55,-,307.62
L-MENTHOL,DECANOIC ACID,-,0.892,0.108,-,307.65
TETRABUTYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.392,0.608,-,307.7
TETRABUTYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.605,0.395,-,307.8
STEARYL ALCOHOL,L-MENTHOL,-,0.2,0.8,-,307.8
TETRADECANOIC ACID,DECANOIC ACID,-,0.401,0.599,-,307.94
ETHYLAMMONIUM CHLORIDE,TRIFLUOROACETAMIDE,-,0.25,0.75,-,308.0
CHOLINE CHLORIDE,OXALIC ACID,-,0.5,0.5,-,308.0
L-MENTHOL,OCTANOIC ACID,-,0.9,0.1,-,308.0
THYMOL,L-MENTHOL,-,0.8,0.2,-,308.15
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.9,0.1,-,308.182
TETRABUTYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.684,0.316,-,308.3
THYMOL,L-MENTHOL,-,0.799,0.201,-,308.3
IBUPROFEN,LAURIC ACID,-,0.3,0.7,-,308.39
DECANOIC ACID,LAURIC ACID,-,0.252,0.748,-,308.4
TETRABUTYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.494,0.506,-,308.5
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.302,0.698,-,308.52
L-MENTHOL,PALMITIC ACID,-,0.9,0.1,-,308.53
TETRAPROPYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.35,0.65,-,308.55
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,308.6
L-MENTHOL,PALMITIC ACID,-,0.8,0.2,-,308.61
LAURIC ACID,DECANOIC ACID,-,0.7,0.3,-,308.8
TETRADECANOIC ACID,LAURIC ACID,-,0.3,0.7,-,308.85
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.304,0.696,-,308.908
STEARYL ALCOHOL,L-MENTHOL,-,0.1,0.9,-,309.0
THYMOL,L-MENTHOL,-,0.801,0.199,-,309.0
L-MENTHOL,1-TETRADECANOL,-,0.199,0.801,-,309.0
L-MENTHOL,OCTANOIC ACID,-,0.905,0.095,-,309.028
THYMOL,TETRADECANOIC ACID,-,0.7,0.3,-,309.05
1-HEXADECANOL,L-MENTHOL,-,0.398,0.602,-,309.1
CHOLINE CHLORIDE,D-ARABINO-HEX-2-ULO-PYRANOSE,-,0.286,0.714,-,309.15
THYMOL,LAURIC ACID,-,0.3,0.7,-,309.36
CHOLINE CHLORIDE,D-SORBITOL,-,0.455,0.545,-,309.375
THYMOL,1-TETRADECANOL,-,0.1,0.9,-,309.4
1-HEXADECANOL,THYMOL,-,0.599,0.401,-,309.4
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.67,0.33,-,309.55
TETRAPROPYLAMMONIUM BROMIDE,PIMELIC ACID,-,0.55,0.45,-,309.6
STEARYL ALCOHOL,THYMOL,-,0.299,0.701,-,309.6
L-MENTHOL,HYDROCINNAMIC ACID,-,0.2,0.8,-,309.65
TETRADECANOIC ACID,LAURIC ACID,-,0.35,0.65,-,309.68
1-HEXADECANOL,L-MENTHOL,-,0.1,0.9,-,309.9
BETAINE,XYLITOL,-,0.45,0.55,-,309.92
L-MENTHOL,LAURIC ACID,-,0.3,0.7,-,310.0
LAURIC ACID,NONANOIC ACID,-,0.857,0.143,-,310.0
L-MENTHOL,1-TETRADECANOL,-,0.101,0.899,-,310.0
THYMOL,L-MENTHOL,-,0.847,0.153,-,310.097
BETAINE,L-MENTHOL,-,0.101,0.899,-,310.1
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.333,0.667,-,310.15
CHOLINE CHLORIDE,D-ARABINO-HEX-2-ULO-PYRANOSE,-,0.714,0.286,-,310.15
CHOLINE CHLORIDE,HYDROCINNAMIC ACID,-,0.199,0.801,-,310.15
PALMITIC ACID,DECANOIC ACID,-,0.25,0.75,-,310.15
NONANOIC ACID,LAURIC ACID,-,0.145,0.855,-,310.15
STEARYL ALCOHOL,THYMOL,-,0.202,0.798,-,310.2
OCTANOIC ACID,LAURIC ACID,-,0.169,0.831,-,310.275
CHOLINE CHLORIDE,1-TETRADECANOL,-,0.202,0.798,-,310.32
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.2,0.8,-,310.35
TETRADECANOIC ACID,LAURIC ACID,-,0.4,0.6,-,310.42
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.218,0.782,-,310.43
PALMITIC ACID,LAURIC ACID,-,0.2,0.8,-,310.44
CHOLINE CHLORIDE,PHENYLACETIC ACID,-,0.302,0.698,-,310.483
TETRADECANOIC ACID,LAURIC ACID,-,0.2,0.8,-,310.61
PALMITIC ACID,LAURIC ACID,-,0.152,0.848,-,310.64
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.196,0.804,-,310.65
CHOLINE CHLORIDE,MALONIC ACID,-,0.399,0.601,-,310.734
BETAINE,THYMOL,-,0.099,0.901,-,310.9
CHOLINE CHLORIDE,1-TETRADECANOL,-,0.109,0.891,-,310.92
L-MENTHOL,TETRADECANOIC ACID,-,0.6,0.4,-,310.93
TETRADECANOIC ACID,LAURIC ACID,-,0.5,0.5,-,310.96
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.219,0.781,-,311.014
ZINC DIBROMIDE,CHOLINE CHLORIDE,-,0.667,0.333,-,311.15
CHOLINE CHLORIDE,GLUTARIC ACID,-,0.45,0.55,-,311.15
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.09,0.91,-,311.19
TETRAPROPYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.3,0.7,-,311.35
THYMOL,LAURIC ACID,-,0.2,0.8,-,311.51
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.199,0.801,-,311.59
THYMOL,LAURIC ACID,-,0.79,0.21,-,311.6
TETRAETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.301,0.699,-,311.71
THYMOL,PALMITIC ACID,-,0.8,0.2,-,311.83
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.7,0.3,-,311.85
LAURIC ACID,DECANOIC ACID,-,0.801,0.199,-,311.94
L-MENTHOL,LAURIC ACID,-,0.2,0.8,-,312.0
THYMOL,OCTANOIC ACID,-,0.8,0.2,-,312.05
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.344,0.656,-,312.0671
THYMOL,TETRADECANOIC ACID,-,0.6,0.4,-,312.14
CHOLINE CHLORIDE,D-GLUCOSE,-,0.4,0.6,-,312.15
L-MENTHOL,LAURIC ACID,-,0.25,0.75,-,312.22
TETRAETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.298,0.702,-,312.25
TETRADECANOIC ACID,DECANOIC ACID,-,0.502,0.498,-,312.27
TETRAETHYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.401,0.599,-,312.28
BETAINE,L-MENTHOL,-,0.199,0.801,-,312.3
THYMOL,TETRADECANOIC ACID,-,0.8,0.2,-,312.3
STEARIC ACID,LAURIC ACID,-,0.152,0.848,-,312.31
IBUPROFEN,LAURIC ACID,-,0.107,0.893,-,312.46
1-HEXADECANOL,L-MENTHOL,-,0.5,0.5,-,312.5
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.067,0.933,-,312.54
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.296,0.704,-,312.55
1-HEXADECANOL,THYMOL,-,0.201,0.799,-,312.6
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.201,0.799,-,312.7691
IBUPROFEN,LAURIC ACID,-,0.504,0.496,-,312.78
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.343,0.657,-,312.86
TETRABUTYLAMMONIUM CHLORIDE,STEARYL ALCOHOL,-,0.392,0.608,-,313.0
STEARIC ACID,LAURIC ACID,-,0.1,0.9,-,313.04
TESTOSTERONE,MENTHOL,-,0.2,0.8,-,313.05
TETRAMETHYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.1,0.9,-,313.1
CHOLINE CHLORIDE,D-ARABINO-HEX-2-ULO-PYRANOSE,-,0.25,0.75,-,313.15
TETRAPROPYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.292,0.708,-,313.15
OCTANOIC ACID,LAURIC ACID,-,0.125,0.875,-,313.15
TETRABUTYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.203,0.797,-,313.2
CHOLINE CHLORIDE,LAURIC ACID,-,0.345,0.655,-,313.2
CHOLINE CHLORIDE,LAURIC ACID,-,0.297,0.703,-,313.38
PALMITIC ACID,DECANOIC ACID,-,0.296,0.704,-,313.38
DECANOIC ACID,LAURIC ACID,-,0.145,0.855,-,313.4
STEARYL ALCOHOL,L-MENTHOL,-,0.299,0.701,-,313.4
PALMITIC ACID,LAURIC ACID,-,0.103,0.897,-,313.5
TETRABUTYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.705,0.295,-,313.6
THYMOL,1-TETRADECANOL,-,0.8,0.2,-,313.7
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.405,0.595,-,313.8222
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.403,0.597,-,313.85
PALMITIC ACID,LAURIC ACID,-,0.3,0.7,-,313.89
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.042,0.958,-,313.891
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.247,0.753,-,313.95
THYMOL,TETRADECANOIC ACID,-,0.5,0.5,-,313.95
STEARYL ALCOHOL,THYMOL,-,0.399,0.601,-,314.0
1-HEXADECANOL,THYMOL,-,0.699,0.301,-,314.1
IRON(3+) TRICHLORIDE,TETRABUTYLPHOSPHONIUM BROMIDE,-,0.333,0.667,-,314.12
CHOLINE CHLORIDE,ACETAMINOPHEN,-,0.5,0.5,-,314.16
THYMOL,LAURIC ACID,-,0.1,0.9,-,314.17
L-MENTHOL,TETRADECANOIC ACID,-,0.5,0.5,-,314.17
PALMITIC ACID,LAURIC ACID,-,0.4,0.6,-,314.39
IRON(3+) TRICHLORIDE,TETRABUTYLPHOSPHONIUM BROMIDE,-,0.4,0.6,-,314.5
TETRABUTYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.202,0.798,-,314.5
THYMOL,DECANOIC ACID,-,0.8,0.2,-,314.51
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.195,0.805,-,314.52
TETRAMETHYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.401,0.599,-,314.6
1.3-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.3,0.7,-,314.639
1-HEXADECANOL,L-MENTHOL,-,0.6,0.4,-,314.7
LAURIC ACID,DECANOIC ACID,-,0.899,0.101,-,314.86
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.196,0.804,-,314.8752
TETRADECANOIC ACID,LAURIC ACID,-,0.1,0.9,-,315.03
CHOLINE CHLORIDE,XYLITOL,-,0.385,0.615,-,315.175
BETAINE,L-MENTHOL,-,0.3,0.7,-,315.2
BETAINE,L-MENTHOL,-,0.299,0.701,-,315.2
TETRAPROPYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.5,0.5,-,315.25
L-MENTHOL,HYDROCINNAMIC ACID,-,0.1,0.9,-,315.35
CHOLINE CHLORIDE,MALONIC ACID,-,0.6,0.4,-,315.432
TETRAPROPYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.4,0.6,-,315.55
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.201,0.799,-,315.65
TETRABUTYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.597,0.403,-,315.7
CHOLINE CHLORIDE,L-MENTHOL,-,0.3,0.7,-,315.7
CHOLINE CHLORIDE,LAURIC ACID,-,0.198,0.802,-,315.88
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.41,0.59,-,315.95
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.8,0.2,-,315.95
TETRABUTYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.298,0.702,-,316.0
L-MENTHOL,LAURIC ACID,-,0.1,0.9,-,316.0
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.288,0.712,-,316.02
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.098,0.902,-,316.05
CHOLINE CHLORIDE,LAURIC ACID,-,0.411,0.589,-,316.05
CHOLINE CHLORIDE,RESORCINOL,-,0.204,0.796,-,316.109
L-MENTHOL,STEARIC ACID,-,0.8,0.2,-,316.14
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.624,0.376,-,316.141
ZINCCHLORIDE,UREA,-,0.33,0.67,-,316.15
LIDOCAINE,STEARIC ACID,-,0.5,0.5,-,316.15
STEARIC ACID,LAURIC ACID,-,0.2,0.8,-,316.17
STEARIC ACID,LAURIC ACID,-,0.05,0.95,-,316.23
CHOLINE CHLORIDE,2.3-DIMETHYLPHENOL,-,0.2,0.8,-,316.3
CHOLINE CHLORIDE,L-MENTHOL,-,0.4,0.6,-,316.3
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.395,0.605,-,316.35
TETRADECANOIC ACID,LAURIC ACID,-,0.6,0.4,-,316.37
TETRABUTYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.7,0.3,-,316.4
CHOLINE CHLORIDE,LAURIC ACID,-,0.1,0.9,-,316.48
TETRADECANOIC ACID,DECANOIC ACID,-,0.602,0.398,-,316.49
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.711,0.289,-,316.5
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.118,0.882,-,316.65
IBUPROFEN,LAURIC ACID,-,0.602,0.398,-,316.65
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,GLYCEROL,-,0.4,0.6,-,316.71
THYMOL,STEARIC ACID,-,0.9,0.1,-,316.71
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.097,0.903,-,316.74
CHOLINE CHLORIDE,HYDROCINNAMIC ACID,-,0.4,0.6,-,316.817
TRIOCTYLPHOSPHINE OXIDE,L-MENTHOL,-,0.751,0.249,-,316.854
CHOLINE CHLORIDE,LACTIC ACID,-,0.55,0.45,-,316.88
CHOLINE CHLORIDE,L-MENTHOL,-,0.2,0.8,-,316.9
TETRAPROPYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.401,0.599,-,316.91
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.109,0.891,-,316.95
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.099,0.901,-,316.97
TETRABUTYLAMMONIUM CHLORIDE,STEARYL ALCOHOL,-,0.497,0.503,-,317.0
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.449,0.551,-,317.03
L-MENTHOL,PALMITIC ACID,-,0.7,0.3,-,317.07
TETRAMETHYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.313,0.687,-,317.1
L-MENTHOL,TETRADECANOIC ACID,-,0.4,0.6,-,317.1
DICHLORIDOTIN,CHOLINE CHLORIDE,-,0.667,0.333,-,317.15
CHOLINE CHLORIDE,D-GLUCOSE,-,0.714,0.286,-,317.15
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.71,0.29,-,317.1749
1.10-PHENANTHROLINE,THYMOL,-,0.492,0.508,-,317.314
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.094,0.906,-,317.39
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.446,0.554,-,317.4
THYMOL,TETRADECANOIC ACID,-,0.4,0.6,-,317.42
TETRAMETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.214,0.786,-,317.45
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.4,0.6,-,317.55
DICHLORIDOTIN,CHOLINE CHLORIDE,-,0.672,0.328,-,317.6591
ZINCCHLORIDE,CHOLINE CHLORIDE,-,0.755,0.245,-,317.6591
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.1,0.9,-,317.6833
TETRAMETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.096,0.904,-,317.6833
1-HEXADECANOL,L-MENTHOL,-,0.699,0.301,-,317.7
THYMOL,PALMITIC ACID,-,0.9,0.1,-,317.7
1.3-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.198,0.802,-,317.831
TETRABUTYLAMMONIUM CHLORIDE,STEARYL ALCOHOL,-,0.303,0.697,-,317.9
THYMOL,L-MENTHOL,-,0.899,0.101,-,317.9
STEARIC ACID,DECANOIC ACID,-,0.199,0.801,-,317.93
THYMOL,L-MENTHOL,-,0.904,0.096,-,317.95
THYMOL,DECANOIC ACID,-,0.9,0.1,-,318.01
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.25,0.75,-,318.15
BETAINE,MALIC ACID,-,0.5,0.5,-,318.15
L-ALANINE,MALIC ACID,-,0.5,0.5,-,318.15
1-HEXADECANOL,THYMOL,-,0.1,0.9,-,318.2
THYMOL,LAURIC ACID,-,0.9,0.1,-,318.22
THYMOL,PALMITIC ACID,-,0.7,0.3,-,318.25
TETRAMETHYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.199,0.801,-,318.3
STEARYL ALCOHOL,THYMOL,-,0.501,0.499,-,318.3
TETRAMETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.205,0.795,-,318.4
THYMOL,TETRADECANOIC ACID,-,0.9,0.1,-,318.44
THYMOL,OCTANOIC ACID,-,0.91,0.09,-,318.49
ETHYLAMMONIUM CHLORIDE,UREA,-,0.33,0.67,-,318.541
CHOLINE CHLORIDE,1-HEXADECANOL,-,0.5,0.5,-,318.55
STEARYL ALCOHOL,THYMOL,-,0.1,0.9,-,318.6
TETRABUTYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.101,0.899,-,318.7
1-HEXADECANOL,THYMOL,-,0.797,0.203,-,318.8
STEARYL ALCOHOL,L-MENTHOL,-,0.401,0.599,-,318.9
THYMOL,1-TETRADECANOL,-,0.9,0.1,-,319.0
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.6,0.4,-,319.15
ETHYLAMMONIUM CHLORIDE,UREA,-,0.659,0.341,-,319.237
TETRADECANOIC ACID,LAURIC ACID,-,0.7,0.3,-,319.37
1-HEXADECANOL,L-MENTHOL,-,0.801,0.199,-,319.4
1.3-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.796,0.264,-,319.427
CHOLINE CHLORIDE,1-TETRADECANOL,-,0.461,0.539,-,319.48
THYMOL,TETRADECANOIC ACID,-,0.3,0.7,-,319.51
THYMOL,L-MENTHOL,-,0.898,0.102,-,319.55
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.395,0.605,-,319.62
TETRAMETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.253,0.747,-,319.65
TETRADECANOIC ACID,DECANOIC ACID,-,0.7,0.3,-,319.72
L-MENTHOL,TETRADECANOIC ACID,-,0.3,0.7,-,319.74
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.398,0.602,-,319.7894
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.406,0.594,-,319.93
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.4,0.6,-,319.93
PALMITIC ACID,TETRADECANOIC ACID,-,0.28,0.72,-,319.96
