Component #1,Component #2,Component #3,x1,x2,x3,T /K,Viscosity /cP
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.15,0.85,-,299.15,55.0
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.2,0.8,-,301.15,55.0
CHOLINE CHLORIDE,GLYCEROL,-,0.3,0.7,-,328.15,55.0
CHOLINE CHLORIDE,PHENOL,-,0.25,0.75,-,293.15,55.0
CHOLINE CHLORIDE,MALONIC ACID,-,0.333,0.667,-,343.15,55.0
TETRABUTYLAMMONIUM CHLORIDE,L-GLUTAMIC ACID,-,0.9,0.1,-,353.15,55.0
BETAINE,1.1.1.3.3.3-HEXAFLUORO-2-PROPANOL,-,0.286,0.714,-,298.15,55.0
DIETHYLAMMONIUM CHLORIDE,GLYCOLIC ACID,-,0.25,0.75,-,353.15,55.0
CHOLINE CHLORIDE,O-CRESOL,-,0.167,0.833,-,293.15,55.05
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.143,0.857,-,298.15,55.1
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.167,0.833,-,308.2,55.1
TETRAPROPYLAMMONIUM CHLORIDE,ETHANOLAMINE,-,0.2,0.8,-,298.15,55.13
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.5,0.5,-,343.15,55.25
BENZYLTRIMETHYLAMMONIUM CHLORIDE,GLYCEROL,-,0.333,0.667,-,313.15,55.25
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.143,0.857,-,298.15,55.66
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.249,0.751,-,298.15,55.76
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.346,0.654,-,318.15,55.82
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.4,0.6,-,288.15,55.82
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,318.15,55.87
DIMETHYLSTEARYLAMINE OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,330.6499984,55.99836
TETRAOCTYLAMMONIUM BROMIDE,DECANOIC ACID,-,0.333,0.667,-,353.15,56.0
BETAINE,LEVULINIC ACID,-,0.333,0.667,-,353.15,56.0
CHOLINE CHLORIDE,O-CRESOL,-,0.2,0.8,-,298.15,56.08
TETRAMETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.2,0.8,-,308.15,56.09
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.25,0.75,-,303.15,56.26
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.143,0.857,-,298.2,56.3
CHOLINE CHLORIDE,M-CRESOL,-,0.333,0.667,-,318.15,56.32
FENCHOL,MENTHOL,-,0.5,0.5,-,298.15,56.9
CHOLINE CHLORIDE,GLYCEROL,-,0.2,0.8,-,328.15,57.0
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.167,0.833,-,298.15,57.12
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.167,0.833,-,293.15,57.14
LIDOCAINE,DECANOIC ACID,-,0.333,0.667,-,318.15,57.15
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,293.15,57.19
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.2,0.8,-,318.2,57.3
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,323.15,57.48
N-DODECYLMORPHOLINE N-OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,330.1500268,57.61515
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.7,0.3,-,293.15,57.63
TETRAETHYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.333,0.667,-,303.15,57.64736
L-MENTHOL,PHENOL,-,0.75,0.25,-,293.15,57.82
CHOLINE CHLORIDE,PHENOL,-,0.25,0.75,-,293.2,57.84
BENZYL(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,328.15,57.86
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.142,0.858,-,303.15,57.86
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.25,0.75,-,333.15,57.92
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,298.15,57.941
1-ETHYL-3-METHYLIMIDAZOLIUM CHLORIDE,PHENOL,-,0.5,0.5,-,313.2,58.0
CHOLINE CHLORIDE,GLYCEROL,-,0.25,0.75,-,328.15,58.0
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.333,0.667,0,313.2,58.0
BETAINE,ETHYLENE GLYCOL,-,0.167,0.833,-,293.2,58.2
L-MENTHOL,CARVACROL,-,0.49,0.51,-,293.15,58.23
L-CARNITINE,ETHYLENE GLYCOL,-,0.25,0.75,-,333.2,58.3
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,PROPYLENE GLYCOL,-,0.2,0.8,-,303.15,58.59
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.25,0.75,-,303.15,58.7
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,293.15,58.75
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,313.15,58.84
LACTIC ACID,L-MENTHOL,-,0.5,0.5,0,313.15,58.84
CHOLINE CHLORIDE,LACTIC ACID,-,0.5,0.5,-,323.0,59.0
ETHANOLAMINE,L-GLUTAMIC ACID,-,0.8,0.2,-,298.15,59.2
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.167,0.833,-,303.15,59.28
1-ETHYL-3-METHYLIMIDAZOLIUM CHLORIDE,SUCCINIMIDE,-,0.5,0.5,-,313.2,59.3
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,348.15,59.3
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.25,0.75,-,303.15,59.32
ALUMINIUM CHLORIDE ANHYDROUS,ACETAMIDE,-,0.5,0.5,-,313.0,59.3205
L-MENTHOL,THYMOL,-,0.6,0.4,-,293.15,59.38
CHOLINE CHLORIDE,UREA,-,0.286,0.714,-,333.15,59.7
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.248,0.752,-,308.15,59.73
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.4,0.6,-,288.15,59.84
BENZYL(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,323.15,59.99
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.15,0.85,-,295.15,60.0
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.05,0.95,-,297.15,60.0
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.1,0.9,-,297.15,60.0
CHOLINE CHLORIDE,GLYCEROL,-,0.15,0.85,-,328.15,60.0
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.332,0.668,-,293.15,60.0
CHOLINE CHLORIDE,M-CRESOL,-,0.25,0.75,-,303.15,60.05
BENZYLTRIETHYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.333,0.667,-,298.15,60.09
L-MENTHOL,CARVACROL,-,0.2,0.8,-,288.15,60.2
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.25,0.75,-,328.2,60.3
CHOLINE CHLORIDE,PHENYLACETIC ACID,-,0.25,0.75,-,328.15,60.7
DIMETHYLSTEARYLAMINE OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,328.1499855,60.76594
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,293.2,60.9
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.2,0.8,-,299.15,61.0
L-MENTHOL,CARVACROL,-,0.57,0.43,-,293.15,61.05
TETRAPROPYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.333,0.667,-,308.15,61.13162
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,298.15,61.16
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.5,0.5,-,288.15,61.28
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.2,0.8,-,293.15,61.31
LAURAMINE OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,320.3499759,61.39717
4-METHYLMORPHOLINE N-OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,320.3499759,61.39717
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.2,0.8,-,298.15,61.49
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.2,0.8,-,313.15,61.797
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.2,0.8,-,298.15,61.95
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.2,0.8,-,297.15,62.0
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.15,0.85,-,297.15,62.0
TETRABUTYLAMMONIUM CHLORIDE,L-GLUTAMIC ACID,-,0.909,0.091,-,343.15,62.0
TRIOCTYLPHOSPHINE OXIDE,THYMOL,-,0.333,0.667,-,298.15,62.1
CHOLINE CHLORIDE,O-CRESOL,-,0.333,0.667,-,318.15,62.31
CARBAMIMIDOYLAZANIUM CHLORIDE,ETHANOLAMINE,-,0.333,0.667,-,308.15,62.66
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.2,0.8,-,303.15,62.96
L-MENTHOL,PHENOL,-,0.8,0.2,-,293.15,63.04
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.5,0.5,-,288.15,63.37
CHOLINE CHLORIDE,M-CRESOL,-,0.373,0.627,-,318.15,63.58
BIS(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,303.15,63.67
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.25,0.75,-,308.15,63.93
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.4,0.6,-,313.15,64.0
CHOLINE CHLORIDE,GLYCEROL,-,0.33,0.67,-,323.15,64.0
BETAINE,ETHYLENE GLYCOL,-,0.25,0.75,-,303.2,64.0
TETRABUTYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,333.15,64.07
L-MENTHOL,4-METHOXYBENZYL ALCOHOL,-,0.5,0.5,-,298.15,64.1
THYMOL,1.2-DECANEDIOL,-,0.667,0.333,-,298.0,64.25
ETHANAMINIUM. 2-HYDROXY-N.N-BIS(2-HYDROXYETHYL)-N-METHYL- CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,313.15,64.25
TETRABUTYLAMMONIUM HYDROGEN SULFATE,CHLOROACETIC ACID,-,0.333,0.667,-,333.15,64.28855
MATRINE,DECANOIC ACID,-,0.5,0.5,-,323.15,64.5
L-MENTHOL,THYMOL,-,0.39,0.61,-,288.15,64.55
MATRINE,LAURIC ACID,-,0.5,0.5,-,323.15,64.8
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.125,0.875,-,323.15,64.8
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.125,0.875,-,293.15,65.15
L-MENTHOL,THYMOL,-,0.7,0.3,-,293.15,65.36
BETAINE,LACTIC ACID,-,0.167,0.833,-,318.15,65.5
(TERT-BUTYL)(2-HYDROXYETHYL)AMMONIUM CHLORIDE,GLYCEROL,-,0.333,0.667,-,333.15,65.5467
TETRABUTYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,303.15,65.59
TRIETHYLMETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,298.15,65.86
BETAINE,LACTIC ACID,-,0.333,0.667,-,343.15,65.9
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.25,0.75,-,301.15,66.0
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,GLYCEROL,-,0.2,0.8,-,308.15,66.19
L-MENTHOL,4-METHOXYBENZYL ALCOHOL,-,0.667,0.333,-,298.15,66.2
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.47,0.53,-,288.15,66.23
L-MENTHOL,4-METHOXYBENZYL ALCOHOL,-,0.333,0.667,-,298.15,66.9
BETAINE,LEVULINIC ACID,-,0.333,0.667,-,343.15,67.0
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.25,0.75,-,298.15,67.0
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.5,0.5,-,338.15,67.03
MATRINE,TETRADECANOIC ACID,-,0.5,0.5,-,323.15,67.4
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ACETIC ACID,-,0.2,0.8,-,308.15,67.43
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.2,0.8,-,293.15,67.44
ETHYLAMMONIUM CHLORIDE,UREA,-,0.333,0.667,0,323.2,67.5
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,313.15,67.73
THYMOL,MENTHOL,-,0.333,0.667,-,298.0,67.85
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.05,0.95,-,295.15,68.0
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.15,0.85,-,295.15,68.0
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.2,0.8,-,297.15,68.0
L-MENTHOL,LIDOCAINE,-,0.667,0.333,-,298.0,68.05
L-MENTHOL,CARVACROL,-,0.65,0.35,-,293.15,68.08
CHOLINE CHLORIDE,O-CRESOL,-,0.25,0.75,-,303.15,68.11
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.333,0.667,-,313.15,68.22
ETHYLAMMONIUM CHLORIDE,UREA,-,0.5,0.5,0,333.2,68.3
L-MENTHOL,HEXYLENE GLYCOL,-,0.667,0.333,-,298.15,68.3962
CHOLINE CHLORIDE,PHENOL,-,0.333,0.667,-,303.15,68.4
CHOLINE CHLORIDE,PHENOL,-,0.333,0.667,-,303.2,68.41
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,308.15,68.6
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.111,0.889,-,308.15,68.6
BENZYLTRIMETHYLAMMONIUM CHLORIDE,GLYCEROL,-,0.333,0.667,-,308.15,68.62
L-MENTHOL,CARVACROL,-,0.3,0.7,-,288.15,68.8
CHOLINE CHLORIDE,M-CRESOL,-,0.2,0.8,-,293.15,68.97
DIETHYLAMMONIUM CHLORIDE,GLYCOLIC ACID,-,0.25,0.75,-,333.15,69.0
TRIETHYLMETHYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,308.15,69.03
CHOLINE CHLORIDE,M-CRESOL,-,0.333,0.667,-,313.15,69.05
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.2,0.8,-,313.15,69.365
ETHYLAMMONIUM CHLORIDE,UREA,-,0.667,0.333,0,323.2,69.6
CHOLINE CHLORIDE,1.3-PROPANEDIOL,-,0.249,0.751,-,293.15,69.74
TETRAETHYLAMMONIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,303.15,69.81
TRIOCTYLPHOSPHINE OXIDE,THYMOL,-,0.5,0.5,-,298.0,69.93
CHOLINE CHLORIDE,1.2-BUTANEDIOL,-,0.2,0.8,-,295.15,70.0
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.333,0.667,-,298.0,70.0
TETRABUTYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.333,0.667,-,318.15,70.06679
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.248,0.752,-,303.15,70.16
LIDOCAINE,DECANOIC ACID,-,0.25,0.75,-,313.15,70.2
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.346,0.654,-,313.15,70.45
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.143,0.857,-,293.15,70.57
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.6,0.4,-,288.15,70.76
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.143,0.857,-,293.15,70.89
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.091,0.909,-,293.15,70.916
CHOLINE CHLORIDE,GLYCEROL,-,0.3,0.7,-,323.15,71.0
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.6,0.4,-,288.15,71.12
AMMONIUM THIOCYANATE,GLYCEROL,-,0.4,0.6,-,313.15,71.18
AMMONIUM THIOCYANATE,GLYCEROL,-,0.4,0.6,-,313.07,71.18
DIMETHYLSTEARYLAMINE OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,325.549976,71.30708
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,LEVULINIC ACID,-,0.25,0.75,-,333.15,71.33
TETRAMETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.2,0.8,-,303.15,71.49
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.5,0.5,0,313.2,71.5
TETRAPROPYLAMMONIUM CHLORIDE,ETHANOLAMINE,-,0.2,0.8,-,293.15,71.63
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.091,0.909,-,298.15,71.692
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.2,0.8,-,303.15,71.79
LIDOCAINE,DECANOIC ACID,-,0.2,0.8,-,308.15,71.95
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.1,0.9,-,295.15,72.0
CHOLINE CHLORIDE,D-GLUCOSE,-,0.667,0.333,-,358.15,72.0
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.25,0.75,-,298.15,72.1
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.142,0.858,-,298.15,72.28
ETHANOLAMINE,L-ALANINE,-,0.833,0.167,-,298.15,72.5
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,318.15,72.54
TETRABUTYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,328.15,72.67
CHOLINE CHLORIDE,GLYCEROL,-,0.25,0.75,-,323.15,73.0
N-DODECYLMORPHOLINE N-OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,325.3500034,73.2195
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.167,0.833,-,293.15,73.34
L-PROLINE,LEVULINIC ACID,-,0.333,0.667,-,343.15,73.4
CHOLINE CHLORIDE,PHENYLACETIC ACID,-,0.333,0.667,-,328.15,73.6
BENZYLTRIETHYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.333,0.667,-,293.15,73.7
LAURAMINE OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,318.1500466,73.83474
4-METHYLMORPHOLINE N-OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,318.1500466,73.83474
CHOLINE CHLORIDE,GLYCEROL,-,0.1,0.9,-,328.15,74.0
TRIMETHYLAZANIUM CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,293.15,74.02
BENZYLTRIMETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,333.15,74.12
TETRAETHYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.333,0.667,-,298.15,74.21093
L-MENTHOL,CARVACROL,-,0.1,0.9,-,283.15,74.33
CHOLINE CHLORIDE,UREA,-,0.333,0.667,-,333.15,74.7
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.167,0.833,-,298.15,74.9
TETRABUTYLAMMONIUM CHLORIDE,L-GLUTAMIC ACID,-,0.889,0.111,-,343.15,75.0
1-ETHYL-3-METHYLIMIDAZOLIUM CHLORIDE,1H-BENZOTRIAZOLE,-,0.5,0.5,-,313.2,75.3
CHOLINE CHLORIDE,O-CRESOL,-,0.2,0.8,-,293.15,75.42
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,GLYCEROL,-,0.167,0.833,-,358.15,75.5
BENZYL(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,318.15,75.82
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.2,0.8,-,295.15,76.0
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.25,0.75,-,293.15,76.0
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.25,0.75,-,299.15,76.0
BETAINE,1.1.1.3.3.3-HEXAFLUORO-2-PROPANOL,-,0.333,0.667,-,298.15,76.0
CHOLINE CHLORIDE,MALONIC ACID,-,0.667,0.333,-,343.15,76.0
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.167,0.833,-,298.2,76.2
ETHANOLAMINE,L-PROLINE,-,0.667,0.333,-,298.15,76.3
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,293.15,76.631
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.25,0.75,-,298.15,76.71
TETRAETHYLAMMONIUM BROMIDE,LEVULINIC ACID,-,0.25,0.75,-,303.15,76.98
CHOLINE CHLORIDE,TRIFLUOROACETAMIDE,-,0.333,0.667,-,313.15,77.0
L-MENTHOL,CARVACROL,-,0.38,0.62,-,288.15,77.15
BETAINE,ETHYLENE GLYCOL,-,0.2,0.8,-,293.2,77.2
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,GLYCEROL,-,0.364,0.636,-,358.15,77.4
CHOLINE CHLORIDE,O-CRESOL,-,0.25,0.75,-,298.2,77.65
L-CARNITINE,ETHYLENE GLYCOL,-,0.2,0.8,-,313.2,77.8
CHOLINE CHLORIDE,LACTIC ACID,-,0.5,0.5,-,338.15,78.0
CARBAMIMIDOYLAZANIUM CHLORIDE,ETHANOLAMINE,-,0.333,0.667,-,303.15,78.19
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.6,0.4,-,288.15,78.22
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,PROPYLENE GLYCOL,-,0.2,0.8,-,298.15,78.32
LIDOCAINE,DECANOIC ACID,-,0.333,0.667,-,313.15,78.6
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.2,0.8,-,298.15,78.77
LACTIC ACID,D-GLUCOSE,-,0.833,0.167,-,313.0,79.0
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,303.15,79.14
TRIETHYLMETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,293.15,79.27
LAURAMINE OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,315.6499896,79.31552
4-METHYLMORPHOLINE N-OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,315.6499896,79.31552
CHOLINE CHLORIDE,O-CRESOL,-,0.333,0.667,-,313.15,79.4
TETRABUTYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,323.15,79.55
1-HYDROXYETHYL-1.4-DIMETHYL-PIPERAZINIUM BROMIDE,GLYCEROL,-,0.2,0.8,-,333.15,79.6
BIS(2-HYDROXYETHYL)DIMETHYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,298.15,79.73
CHOLINE CHLORIDE,GLYCEROL,-,0.15,0.85,-,323.15,80.0
CHOLINE CHLORIDE,PROPYLENE GLYCOL,-,0.2,0.8,-,293.15,80.19
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,308.15,80.56
CHOLINE CHLORIDE,M-CRESOL,-,0.25,0.75,-,298.15,80.73
ETHANAMINIUM. 2-HYDROXY-N.N-BIS(2-HYDROXYETHYL)-N-METHYL- CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,308.15,80.77
L-MENTHOL,THYMOL,-,0.51,0.49,-,288.15,80.85
BENZYLTRIMETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,328.15,80.89
CHOLINE CHLORIDE,M-CRESOL,-,0.373,0.627,-,313.15,81.01
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.2,0.8,-,308.15,81.109
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.125,0.875,-,318.15,81.5
TETRABUTYLAMMONIUM HYDROGEN SULFATE,CHLOROACETIC ACID,-,0.333,0.667,-,328.15,81.52702
CHOLINE CHLORIDE,GLYCEROL,-,0.333,0.667,-,323.15,81.5895
CHOLINE CHLORIDE,GLYCEROL,-,0.33,0.67,-,318.15,82.0
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,GLYCEROL,-,0.2,0.8,-,303.15,82.47
(TERT-BUTYL)(2-HYDROXYETHYL)AMMONIUM CHLORIDE,GLYCEROL,-,0.333,0.667,-,328.15,82.7882
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.5,0.5,-,333.15,82.82
ACETYLCHOLINE CHLORIDE,1.2.4-TRIAZOLE,-,0.5,0.5,-,323.15,83.06
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.25,0.75,-,318.2,83.5
1-HYDROXYETHYL-1.4-DIMETHYL-PIPERAZINIUM BROMIDE,GLYCEROL,-,0.167,0.833,-,333.15,83.7
BETAINE,LACTIC ACID,-,0.333,0.667,-,338.15,83.7
MATRINE,DECANOIC ACID,-,0.5,0.5,-,318.15,84.0
MATRINE,LAURIC ACID,-,0.5,0.5,-,318.15,84.0
BENZYLTRIETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,333.15,84.09
TETRAPROPYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.333,0.667,-,303.15,84.34974
BETAINE,LEVULINIC ACID,-,0.333,0.667,-,338.15,84.8
CHOLINE CHLORIDE,2.3-BUTANEDIOL,-,0.25,0.75,-,303.15,84.88
BENZYLTRIMETHYLAMMONIUM CHLORIDE,ACETIC ACID,-,0.333,0.667,-,323.15,84.9
BENZYLTRIMETHYLAMMONIUM CHLORIDE,GLYCEROL,-,0.333,0.667,-,303.15,85.38
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,338.15,85.5
N.N.N′.N′-TETRAMETHYL-1.3-PROPANEDIAMINE DIHYDROCHLORIDE,PHENOL,-,0.2,0.8,-,308.2,85.8
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,303.15,85.88
CHOLINE CHLORIDE,GLYCEROL,-,0.2,0.8,-,323.15,86.0
TETRABUTYLAMMONIUM CHLORIDE,L-GLUTAMIC ACID,-,0.9,0.1,-,343.15,86.1
BETAINE,LACTIC ACID,-,0.167,0.833,-,313.15,86.1
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ACETIC ACID,-,0.2,0.8,-,303.15,86.33
L-MENTHOL,L-LACTIC ACID,-,0.333,0.667,-,308.15,86.529
LACTIC ACID,L-MENTHOL,-,0.5,0.5,0,308.15,86.529
TETRAETHYLAMMONIUM CHLORIDE,GLYCOLIC ACID,-,0.333,0.667,-,323.15,87.0
L-CARNITINE,ETHYLENE GLYCOL,-,0.167,0.833,-,303.2,87.2
