Component #1,Component #2,Component #3,x1,x2,x3,T /K,Density /g/cm^3
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,343.15,1.1099
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.2,0.8,-,333.15,1.1099
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,323.15,1.11
BETAINE,PHENYLACETIC ACID,-,0.4,0.6,-,363.15,1.11
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,338.15,1.11011
TETRABUTYLAMMONIUM HYDROGEN SULFATE,CHLOROACETIC ACID,-,0.5,0.5,-,298.15,1.110212
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.167,0.833,-,303.15,1.1103
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,338.13,1.1103
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.143,0.857,-,303.15,1.11047
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,338.15,1.1107
1-ETHYL-3-METHYLIMIDAZOLIUM CHLORIDE,PHENOL,-,0.5,0.5,-,313.2,1.11071
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.668,-,308.15,1.11077
TETRABUTYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.5,0.5,-,313.15,1.110897
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,303.15,1.110985
CHOLINE CHLORIDE,ACETIC ACID,-,0.333,0.667,-,298.15,1.111
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,308.15,1.1111
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.28,0.72,-,308.15,1.1111
CHOLINE CHLORIDE,4-ETHYLPHENOL,-,0.143,0.857,-,298.15,1.1112
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.33,0.67,-,308.15,1.1117
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,303.15,1.11172
TETRAETHYLAMMONIUM P-TOLUENESULFONATE,TETRAETHYLENE GLYCOL,-,0.2,0.8,-,303.15,1.1119
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,338.15,1.112
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.25,0.75,-,333.15,1.112
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,343.15,1.112
BETAINE,LEVULINIC ACID,-,0.125,0.875,-,333.15,1.112
METHANAMINE,LEVULINIC ACID,-,0.25,0.75,-,298.15,1.11204
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,338.15,1.1122
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.36,0.64,-,308.15,1.1122
TETRAETHYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,293.15,1.1124
L-HISTIDINE,HEXANOIC ACID,-,0.333,0.667,-,303.15,1.1124
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.333,0.667,-,323.15,1.1125
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,303.15,1.11262
TETRABUTYLAMMONIUM HYDROGEN SULFATE,BENZILIC ACID,-,0.5,0.5,-,308.15,1.112964
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.5,0.5,-,303.15,1.11298
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.167,0.833,-,333.15,1.113
LAURAMINE OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,333.15,1.113
4-METHYLMORPHOLINE N-OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,333.15,1.113
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.2,0.8,-,333.15,1.1131
ACETYLCHOLINE CHLORIDE,1.2.4-TRIAZOLE,-,0.5,0.5,-,333.15,1.1133
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.4,0.6,-,333.15,1.1133
TETRABUTYLAMMONIUM HYDROGEN SULFATE,CHLOROACETIC ACID,-,0.5,0.5,-,293.15,1.113545
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,338.15,1.1136
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.668,-,303.15,1.1136
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,333.13,1.1136
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.143,0.857,-,298.15,1.11364
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,333.15,1.11375
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.05,0.95,-,293.0,1.114
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.333,0.667,-,313.15,1.1141
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.28,0.72,-,303.15,1.1141
TETRABUTYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.5,0.5,-,308.15,1.11431
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.33,0.67,-,303.15,1.1146
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.1,0.9,-,293.0,1.115
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.15,0.85,-,293.0,1.115
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,333.15,1.115
BETAINE,LEVULINIC ACID,-,0.125,0.875,-,328.15,1.115
2-HYDROXYETHYLAZANIUM CHLORIDE,TETRAETHYLENEPENTAMINE,-,0.5,0.5,-,313.15,1.1151
TETRAETHYLAMMONIUM P-TOLUENESULFONATE,TETRAETHYLENE GLYCOL,-,0.2,0.8,-,298.15,1.1153
AMMONIUM THIOCYANATE,ACETAMIDE,-,0.4,0.6,-,313.15,1.1156
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.36,0.64,-,303.15,1.1156
L-HISTIDINE,HEXANOIC ACID,-,0.333,0.667,-,298.15,1.1157
METHANAMINE,LEVULINIC ACID,-,0.25,0.75,-,293.15,1.11585
TETRABUTYLAMMONIUM HYDROGEN SULFATE,BENZILIC ACID,-,0.5,0.5,-,303.15,1.116079
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,333.15,1.1161
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.668,-,298.15,1.11646
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.143,0.857,-,293.15,1.11653
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.167,0.833,-,293.15,1.11653
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.167,0.833,-,323.15,1.1166
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,328.15,1.1167
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,328.13,1.1169
TETRABUTYLAMMONIUM HYDROGEN SULFATE,NINHYDRIN,-,0.571,0.429,-,333.15,1.116985
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,293.0,1.117
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,313.15,1.117
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,293.15,1.1171
CHOLINE CHLORIDE,4-ETHYLPHENOL,-,0.167,0.833,-,298.15,1.1171
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.2,0.8,-,323.15,1.1171
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.28,0.72,-,298.15,1.11715
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,333.15,1.1173
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.33,0.67,-,298.15,1.1174
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.34,0.66,-,298.15,1.1177
CHOLINE CHLORIDE,2.6-DIMETHYLPHENOL,-,0.143,0.857,-,298.15,1.1177
TETRABUTYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.5,0.5,-,303.15,1.117724
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,293.15,1.11774
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,323.15,1.1178
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,328.15,1.11791
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,293.15,1.11792
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,293.0,1.118
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.3,0.7,-,293.0,1.118
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,328.15,1.118
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.36,0.64,-,298.15,1.1182
CHOLINE CHLORIDE,2.6-DIMETHYLPHENOL,-,0.167,0.833,-,298.15,1.1183
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.25,0.75,-,323.15,1.1186
L-HISTIDINE,HEXANOIC ACID,-,0.333,0.667,-,293.15,1.1186
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.333,0.667,-,313.15,1.1189
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,333.15,1.119
BETAINE,LEVULINIC ACID,-,0.125,0.875,-,323.15,1.119
CHOLINE CHLORIDE,GLYCEROL,-,0.5,0.5,-,368.15,1.1191
CHOLINE CHLORIDE,4-ETHYLPHENOL,-,0.2,0.8,-,298.15,1.1191
TETRABUTYLAMMONIUM HYDROGEN SULFATE,BENZILIC ACID,-,0.5,0.5,-,298.15,1.119133
ACETYLCHOLINE CHLORIDE,1.2.4-TRIAZOLE,-,0.5,0.5,-,323.15,1.1193
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.4,0.6,-,323.15,1.1193
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.668,-,293.15,1.1193
CHOLINE CHLORIDE,2.6-DIMETHYLPHENOL,-,0.2,0.8,-,298.15,1.1196
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,318.15,1.1197
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,328.15,1.1199
TETRABUTYLAMMONIUM HYDROGEN SULFATE,NINHYDRIN,-,0.571,0.429,-,328.15,1.119957
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.33,0.67,-,293.0,1.12
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,298.0,1.12
CHOLINE CHLORIDE,LACTIC ACID,-,0.5,0.5,-,298.15,1.12
CHOLINE CHLORIDE,LACTIC ACID,-,0.25,0.75,-,298.15,1.12
BETAINE,PHENYLACETIC ACID,-,0.4,0.6,-,348.15,1.12
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.2,0.8,-,303.15,1.1202
CHOLINE CHLORIDE,4-ETHYLPHENOL,-,0.25,0.75,-,298.15,1.1202
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.167,0.833,-,323.15,1.1202
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,323.13,1.1203
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHANOLAMINE,-,0.143,0.857,-,303.15,1.1204
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.2,0.8,-,323.15,1.1204
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.333,0.667,-,303.15,1.1206
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,323.15,1.12063
1-ETHYL-3-METHYLIMIDAZOLIUM CHLORIDE,SUCCINIMIDE,-,0.5,0.5,-,313.2,1.12093
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,328.15,1.121
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,323.15,1.121
LAURAMINE OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,328.15,1.121
4-METHYLMORPHOLINE N-OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,328.15,1.121
TETRABUTYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.5,0.5,-,298.15,1.121287
CHOLINE CHLORIDE,2.6-DIMETHYLPHENOL,-,0.25,0.75,-,298.15,1.1216
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.091,0.909,-,343.15,1.1217
TETRABUTYLAMMONIUM HYDROGEN SULFATE,BENZILIC ACID,-,0.5,0.5,-,293.15,1.121746
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,323.15,1.12182
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,333.15,1.121905
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,313.15,1.121915
CHOLINE CHLORIDE,GLYCEROL,-,0.5,0.5,-,363.15,1.122
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,313.15,1.1221
TETRABUTYLAMMONIUM HYDROGEN SULFATE,NINHYDRIN,-,0.571,0.429,-,323.15,1.122898
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,283.15,1.1229
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,303.15,1.123
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.091,0.909,-,343.15,1.1233
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,318.13,1.1236
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,323.15,1.1237
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.167,0.833,-,313.15,1.1238
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,323.15,1.1239
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,318.15,1.12398
BETAINE,LEVULINIC ACID,-,0.125,0.875,-,318.15,1.124
CHOLINE CHLORIDE,GLYCEROL,-,0.5,0.5,-,358.15,1.1243
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.2,0.8,-,313.15,1.1243
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,323.15,1.1246
TETRABUTYLAMMONIUM HYDROGEN SULFATE,CHLOROACETIC ACID,-,0.333,0.667,-,333.15,1.124722
ACETYLCHOLINE CHLORIDE,1.2.4-TRIAZOLE,-,0.5,0.5,-,313.15,1.1249
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.4,0.6,-,313.15,1.1249
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,318.15,1.125
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,323.15,1.125
TETRABUTYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.5,0.5,-,293.15,1.125055
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.25,0.75,-,313.15,1.1252
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.333,0.667,-,303.15,1.1254
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.091,0.909,-,338.15,1.1255
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,308.15,1.1255
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,318.15,1.12561
TETRABUTYLAMMONIUM HYDROGEN SULFATE,NINHYDRIN,-,0.571,0.429,-,318.15,1.125717
CHOLINE CHLORIDE,2.6-DIMETHYLPHENOL,-,0.333,0.667,-,298.15,1.1262
CHOLINE CHLORIDE,GLYCEROL,-,0.5,0.5,-,353.15,1.1266
BETAINE,LEVULINIC ACID,-,0.333,0.667,-,343.15,1.1266
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,313.13,1.1269
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.091,0.909,-,338.15,1.127
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.167,0.833,-,313.15,1.127
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.2,0.8,-,313.15,1.1273
TETRAMETHYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,318.15,1.1274
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,318.15,1.1275
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,318.15,1.1275
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,313.15,1.127545
CHOLINE CHLORIDE,GUAIACOL,-,0.167,0.833,-,323.15,1.128
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,313.15,1.128
BETAINE,LEVULINIC ACID,-,0.125,0.875,-,313.15,1.128
TETRABUTYLAMMONIUM HYDROGEN SULFATE,CHLOROACETIC ACID,-,0.333,0.667,-,328.15,1.128174
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,318.15,1.1282
CHOLINE CHLORIDE,L-LACTIC ACID,-,0.435,0.565,-,363.15,1.1283
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,303.15,1.1284
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.25,0.75,-,363.15,1.1285
TETRABUTYLAMMONIUM HYDROGEN SULFATE,NINHYDRIN,-,0.571,0.429,-,313.15,1.128694
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.091,0.909,-,333.15,1.1292
ACETYLCHOLINE CHLORIDE,1.2.4-TRIAZOLE,-,0.5,0.5,-,303.15,1.1293
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.4,0.6,-,303.15,1.1293
CHOLINE CHLORIDE,GLYCEROL,-,0.5,0.5,-,348.15,1.1296
CHOLINE CHLORIDE,4-ETHYLPHENOL,-,0.333,0.667,-,298.15,1.1299
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,293.15,1.13
BETAINE,PHENYLACETIC ACID,-,0.4,0.6,-,333.15,1.13
BETAINE,LEVULINIC ACID,-,0.333,0.667,-,338.15,1.1301
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,313.15,1.1302
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,308.13,1.1303
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.091,0.909,-,333.15,1.1307
TETRAMETHYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,313.15,1.1307
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.167,0.833,-,303.15,1.1309
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,308.15,1.131
(TERT-BUTYL)(2-HYDROXYETHYL)AMMONIUM CHLORIDE,GLYCEROL,-,0.33,0.67,-,368.15,1.1311
CHOLINE CHLORIDE,L-LACTIC ACID,-,0.435,0.565,-,358.15,1.1311
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,308.15,1.13119
TETRABUTYLAMMONIUM BROMIDE,PROPIONIC ACID,-,0.5,0.5,-,298.15,1.1312
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,298.15,1.1312
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,313.15,1.1313
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.2,0.8,-,303.15,1.1315
TETRABUTYLAMMONIUM HYDROGEN SULFATE,NINHYDRIN,-,0.571,0.429,-,308.15,1.131622
TETRABUTYLAMMONIUM HYDROGEN SULFATE,CHLOROACETIC ACID,-,0.333,0.667,-,323.15,1.131646
ACETYLCHOLINE CHLORIDE,GUAIACOL,-,0.2,0.8,-,323.15,1.1317
CHOLINE CHLORIDE,FURFURYL ALCOHOL,-,0.25,0.75,-,303.15,1.1318
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,313.15,1.1319
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,313.15,1.132
CHOLINE CHLORIDE,GUAIACOL,-,0.2,0.8,-,323.15,1.1324
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.25,0.75,-,353.15,1.1326
CHOLINE CHLORIDE,GLYCEROL,-,0.5,0.5,-,343.15,1.1326
BUTYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.077,0.923,-,303.15,1.1328
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.091,0.909,-,328.15,1.133
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,303.15,1.133
BETAINE,LEVULINIC ACID,-,0.125,0.875,-,308.15,1.133
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,308.15,1.13301
BETAINE,LEVULINIC ACID,-,0.333,0.667,-,333.15,1.1336
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,303.13,1.1337
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.167,0.833,-,303.15,1.1337
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,308.15,1.1337
ACETYLCHOLINE CHLORIDE,GUAIACOL,-,0.25,0.75,-,323.15,1.1338
CHOLINE CHLORIDE,L-LACTIC ACID,-,0.435,0.565,-,353.15,1.1339
TETRAMETHYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,308.15,1.134
LAURAMINE OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,323.15,1.134
4-METHYLMORPHOLINE N-OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,323.15,1.134
CHOLINE CHLORIDE,GUAIACOL,-,0.25,0.75,-,323.15,1.1341
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.2,0.8,-,303.15,1.1341
TETRABUTYLAMMONIUM HYDROGEN SULFATE,NINHYDRIN,-,0.571,0.429,-,303.15,1.134101
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,293.15,1.1343
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.091,0.909,-,328.15,1.1344
(TERT-BUTYL)(2-HYDROXYETHYL)AMMONIUM CHLORIDE,GLYCEROL,-,0.33,0.67,-,363.15,1.1344
CHOLINE CHLORIDE,L-LACTIC ACID,-,0.4,0.6,-,363.15,1.1347
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,303.15,1.134715
CHOLINE CHLORIDE,GLYCEROL,-,0.5,0.5,-,338.15,1.1349
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,308.15,1.135
ACETYLCHOLINE CHLORIDE,GUAIACOL,-,0.167,0.833,-,323.15,1.1351
TETRABUTYLAMMONIUM HYDROGEN SULFATE,CHLOROACETIC ACID,-,0.333,0.667,-,318.15,1.135133
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,308.15,1.1355
LAURAMINE OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,317.15,1.136
4-METHYLMORPHOLINE N-OXIDE,PHENYLACETIC ACID,-,0.5,0.5,-,317.15,1.136
CHOLINE CHLORIDE,GUAIACOL,-,0.167,0.833,-,313.15,1.1362
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,303.15,1.1364
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.091,0.909,-,323.15,1.1367
CHOLINE CHLORIDE,L-LACTIC ACID,-,0.435,0.565,-,348.15,1.1367
ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,303.15,1.136885
TETRABUTYLAMMONIUM HYDROGEN SULFATE,NINHYDRIN,-,0.571,0.429,-,298.15,1.137035
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,298.13,1.1371
BETAINE,LEVULINIC ACID,-,0.333,0.667,-,328.15,1.1371
TETRAMETHYLAMMONIUM CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,303.15,1.1373
TETRABUTYLAMMONIUM BROMIDE,CHLOROACETIC ACID,-,0.333,0.667,-,333.15,1.137362
(TERT-BUTYL)(2-HYDROXYETHYL)AMMONIUM CHLORIDE,GLYCEROL,-,0.33,0.67,-,358.15,1.1374
CHOLINE CHLORIDE,L-LACTIC ACID,-,0.4,0.6,-,358.15,1.1377
CHOLINE CHLORIDE,GLYCEROL,-,0.5,0.5,-,333.15,1.1379
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.091,0.909,-,323.15,1.138
AMMONIUM THIOCYANATE,ETHYLENE GLYCOL,-,0.25,0.75,-,313.15,1.138
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,298.15,1.138
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,303.15,1.138
BETAINE,LEVULINIC ACID,-,0.125,0.875,-,303.15,1.138
ACETYLCHOLINE CHLORIDE,GUAIACOL,-,0.2,0.8,-,313.15,1.1381
CHOLINE CHLORIDE,L-LACTIC ACID,-,0.333,0.667,-,363.15,1.1381
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.25,0.75,-,343.15,1.1384
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,298.15,1.13842
TETRABUTYLAMMONIUM HYDROGEN SULFATE,CHLOROACETIC ACID,-,0.333,0.667,-,313.15,1.138608
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.059,0.941,-,303.15,1.1388
CHOLINE CHLORIDE,MALONIC ACID,-,0.333,0.667,-,363.15,1.1388
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,DIETHYLENE GLYCOL,-,0.059,0.941,-,303.15,1.1391
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,298.15,1.1391
CHOLINE CHLORIDE,L-LACTIC ACID,-,0.435,0.565,-,343.15,1.1396
TETRAETHYLAMMONIUM BROMIDE,LEVULINIC ACID,-,0.25,0.75,-,343.15,1.13974
ACETYLCHOLINE CHLORIDE,GUAIACOL,-,0.25,0.75,-,313.15,1.1398
TETRABUTYLAMMONIUM HYDROGEN SULFATE,NINHYDRIN,-,0.571,0.429,-,293.15,1.139893
L-MENTHOL,4-CHLOROPHENOL,-,0.333,0.667,-,293.15,1.1399
ETHYLAMMONIUM CHLORIDE,UREA,-,0.4,0.6,-,313.15,1.14
CHOLINE CHLORIDE,LACTIC ACID,-,0.2,0.8,-,298.15,1.14
CHOLINE CHLORIDE,GLYCEROL,-,0.5,0.5,-,328.15,1.1402
(TERT-BUTYL)(2-HYDROXYETHYL)AMMONIUM CHLORIDE,GLYCEROL,-,0.33,0.67,-,353.15,1.1403
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,293.18,1.1404
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.091,0.909,-,318.15,1.1405
